id,name,year,filenameOrUrl
s0069,台中大雅教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0069_area1.png
s0070,新竹光武教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0070_area1.png
s0071,台中三光教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0071_area1.png
s0072,新北頭前教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0072_area1.png
s0073,台中雙十教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0073_area1.png
s0074,台中漢口教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0074_area1.png
s0075,員林大同教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0075_area1.png
s0076,新北錦和教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0076_area1.png
s0077,新北林高教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0077_area1.png
s0078,新北重慶教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0078_area2.png
s0079,台中沙鹿教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0079_area1.png
s0080,高雄鳳新教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0080_area1.png
s0081,高雄福山教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0081_area1.png
s0082,桃園內壢教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0082_area1.png
s0083,竹北光明教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0083_area1.png
s0084,新北永和教室,2016,https://www.meikoschool.com.tw/wp-content/uploads/s0084_area1.png
s0085,雲林斗六教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0085_area1.png
s0086,屏東明正教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0086_area1.png
s0087,新北南勢角教室,2020,https://www.meikoschool.com.tw/wp-content/uploads/s0087_area1.png
s0088,新北正義教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0088_area1.png
s0089,新北義學教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0089_area1.png
s0090,台南復興教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0090_area1.png
s0091,台中萬和教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0091_area1.png
s0092,新北淡水教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0092_area1.png
s0093,台南後甲教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0093_area1.png
s0094,台北士林教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0094_area..png
s0095,高雄一心教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0095_area1.png
s0096,新北中正教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0096_area.png
s0097,台南大橋教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0097_area1.png
s0098,桃園自強教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0098_area1.png
s0099,新北蘆洲教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0099_area1.png
s0100,台南建興教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0100_area1.png
s0101,台南金城教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0101_area1.png
s0102,台中潭子教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0102_area1.png
s0103,新北秀朗教室,2021,https://www.meikoschool.com.tw/wp-content/uploads/s0103_area1.png
s0104,台北東湖教室,2022,https://www.meikoschool.com.tw/wp-content/uploads/s0104_area2.png
s0105,高雄七賢教室,2022,https://www.meikoschool.com.tw/wp-content/uploads/s0105_area..png
s0106,台中豐東教室,2022,https://www.meikoschool.com.tw/wp-content/uploads/s0106_area.png
s0107,台北成淵教室,2022,https://www.meikoschool.com.tw/wp-content/uploads/s0107_area1.png
